Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","024","Angola","5510","Production","01610","Coffee, green","2023","2023","t","20071","A","Official figure",""
"QCL","Crops and livestock products","084","Belize","5510","Production","01610","Coffee, green","2023","2023","t","89.56","E","Estimated value",""
"QCL","Crops and livestock products","204","Benin","5510","Production","01610","Coffee, green","2023","2023","t","55.09","E","Estimated value",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5510","Production","01610","Coffee, green","2023","2023","t","23579.45","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01610","Coffee, green","2023","2023","t","3405267","A","Official figure",""
"QCL","Crops and livestock products","108","Burundi","5510","Production","01610","Coffee, green","2023","2023","t","9900","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","132","Cabo Verde","5510","Production","01610","Coffee, green","2023","2023","t","17.17","A","Official figure",""
"QCL","Crops and livestock products","116","Cambodia","5510","Production","01610","Coffee, green","2023","2023","t","364.83","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","120","Cameroon","5510","Production","01610","Coffee, green","2023","2023","t","24266.35","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","140","Central African Republic","5510","Production","01610","Coffee, green","2023","2023","t","316108","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","01610","Coffee, green","2023","2023","t","109034.45","E","Estimated value",""
"QCL","Crops and livestock products","156","China, mainland","5510","Production","01610","Coffee, green","2023","2023","t","108000","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","158","China, Taiwan Province of","5510","Production","01610","Coffee, green","2023","2023","t","1034.45","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","170","Colombia","5510","Production","01610","Coffee, green","2023","2023","t","680857.67","A","Official figure",""
"QCL","Crops and livestock products","174","Comoros","5510","Production","01610","Coffee, green","2023","2023","t","143.76","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","178","Congo","5510","Production","01610","Coffee, green","2023","2023","t","3237.71","E","Estimated value",""
"QCL","Crops and livestock products","184","Cook Islands","5510","Production","01610","Coffee, green","2023","2023","t","0.37","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","188","Costa Rica","5510","Production","01610","Coffee, green","2023","2023","t","78822","A","Official figure",""
"QCL","Crops and livestock products","384","Côte d'Ivoire","5510","Production","01610","Coffee, green","2023","2023","t","91326.79","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","192","Cuba","5510","Production","01610","Coffee, green","2023","2023","t","6000","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","180","Democratic Republic of the Congo","5510","Production","01610","Coffee, green","2023","2023","t","62216.86","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","212","Dominica","5510","Production","01610","Coffee, green","2023","2023","t","361.16","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","214","Dominican Republic","5510","Production","01610","Coffee, green","2023","2023","t","23446.25","A","Official figure",""
"QCL","Crops and livestock products","218","Ecuador","5510","Production","01610","Coffee, green","2023","2023","t","5584.19","A","Official figure",""
"QCL","Crops and livestock products","222","El Salvador","5510","Production","01610","Coffee, green","2023","2023","t","32326.39","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","226","Equatorial Guinea","5510","Production","01610","Coffee, green","2023","2023","t","4091.67","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","231","Ethiopia","5510","Production","01610","Coffee, green","2023","2023","t","559400","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","242","Fiji","5510","Production","01610","Coffee, green","2023","2023","t","14.25","E","Estimated value",""
"QCL","Crops and livestock products","258","French Polynesia","5510","Production","01610","Coffee, green","2023","2023","t","21.91","E","Estimated value",""
"QCL","Crops and livestock products","266","Gabon","5510","Production","01610","Coffee, green","2023","2023","t","103.9","E","Estimated value",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","01610","Coffee, green","2023","2023","t","736","E","Estimated value",""
"QCL","Crops and livestock products","320","Guatemala","5510","Production","01610","Coffee, green","2023","2023","t","225327.29","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","324","Guinea","5510","Production","01610","Coffee, green","2023","2023","t","200000","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","328","Guyana","5510","Production","01610","Coffee, green","2023","2023","t","133","A","Official figure",""
"QCL","Crops and livestock products","332","Haiti","5510","Production","01610","Coffee, green","2023","2023","t","5046.87","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","340","Honduras","5510","Production","01610","Coffee, green","2023","2023","t","384361.02","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01610","Coffee, green","2023","2023","t","332848.31","I","Value imputed by a receiving agency",""
