Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","024","Angola","5510","Production","01610","Coffee, green","2022","2022","t","16767","A","Official figure",""
"QCL","Crops and livestock products","084","Belize","5510","Production","01610","Coffee, green","2022","2022","t","89.53","E","Estimated value",""
"QCL","Crops and livestock products","204","Benin","5510","Production","01610","Coffee, green","2022","2022","t","55.3","E","Estimated value",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5510","Production","01610","Coffee, green","2022","2022","t","23238.78","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01610","Coffee, green","2022","2022","t","3179176","A","Official figure",""
"QCL","Crops and livestock products","108","Burundi","5510","Production","01610","Coffee, green","2022","2022","t","10500","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","132","Cabo Verde","5510","Production","01610","Coffee, green","2022","2022","t","47","A","Official figure",""
"QCL","Crops and livestock products","116","Cambodia","5510","Production","01610","Coffee, green","2022","2022","t","364.06","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","120","Cameroon","5510","Production","01610","Coffee, green","2022","2022","t","26245.72","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","140","Central African Republic","5510","Production","01610","Coffee, green","2022","2022","t","306900.66","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","01610","Coffee, green","2022","2022","t","108980","E","Estimated value",""
"QCL","Crops and livestock products","156","China, mainland","5510","Production","01610","Coffee, green","2022","2022","t","108000","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","158","China, Taiwan Province of","5510","Production","01610","Coffee, green","2022","2022","t","980","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5510","Production","01610","Coffee, green","2022","2022","t","665015.95","A","Official figure",""
"QCL","Crops and livestock products","174","Comoros","5510","Production","01610","Coffee, green","2022","2022","t","142.79","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","178","Congo","5510","Production","01610","Coffee, green","2022","2022","t","3244.67","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","184","Cook Islands","5510","Production","01610","Coffee, green","2022","2022","t","0.37","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","188","Costa Rica","5510","Production","01610","Coffee, green","2022","2022","t","74620","A","Official figure",""
"QCL","Crops and livestock products","384","Côte d'Ivoire","5510","Production","01610","Coffee, green","2022","2022","t","89878","A","Official figure",""
"QCL","Crops and livestock products","192","Cuba","5510","Production","01610","Coffee, green","2022","2022","t","6252","A","Official figure",""
"QCL","Crops and livestock products","180","Democratic Republic of the Congo","5510","Production","01610","Coffee, green","2022","2022","t","58606.18","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","212","Dominica","5510","Production","01610","Coffee, green","2022","2022","t","355.34","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","214","Dominican Republic","5510","Production","01610","Coffee, green","2022","2022","t","19814.39","A","Official figure",""
"QCL","Crops and livestock products","218","Ecuador","5510","Production","01610","Coffee, green","2022","2022","t","7965.97","A","Official figure",""
"QCL","Crops and livestock products","222","El Salvador","5510","Production","01610","Coffee, green","2022","2022","t","41866","A","Official figure",""
"QCL","Crops and livestock products","226","Equatorial Guinea","5510","Production","01610","Coffee, green","2022","2022","t","4110.75","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","231","Ethiopia","5510","Production","01610","Coffee, green","2022","2022","t","489100","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","242","Fiji","5510","Production","01610","Coffee, green","2022","2022","t","14.38","E","Estimated value",""
"QCL","Crops and livestock products","258","French Polynesia","5510","Production","01610","Coffee, green","2022","2022","t","22.03","E","Estimated value",""
"QCL","Crops and livestock products","266","Gabon","5510","Production","01610","Coffee, green","2022","2022","t","103.9","E","Estimated value",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","01610","Coffee, green","2022","2022","t","736","E","Estimated value",""
"QCL","Crops and livestock products","320","Guatemala","5510","Production","01610","Coffee, green","2022","2022","t","225500","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","324","Guinea","5510","Production","01610","Coffee, green","2022","2022","t","261645","A","Official figure",""
"QCL","Crops and livestock products","328","Guyana","5510","Production","01610","Coffee, green","2022","2022","t","567","A","Official figure",""
"QCL","Crops and livestock products","332","Haiti","5510","Production","01610","Coffee, green","2022","2022","t","5066","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","340","Honduras","5510","Production","01610","Coffee, green","2022","2022","t","330111.31","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01610","Coffee, green","2022","2022","t","340406.47","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01610","Coffee, green","2022","2022","t","774960.53","A","Official figure",""
"QCL","Crops and livestock products","388","Jamaica","5510","Production","01610","Coffee, green","2022","2022","t","7064.1","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01610","Coffee, green","2022","2022","t","51900","A","Official figure",""
